name,gender,birth,nationality,military_civilian,mission_number,occupation,year_of_mission,mission_hours,mission_title
"Lockhart, Paul S.",male,1956,U.S.,military,1,pilot,2002,332,STS-111
"Lockhart, Paul S.",male,1956,U.S.,military,2,pilot,2002,330,STS-113
"Perrin, Philippe",male,1963,France,military,1,MSP,2002,332.58,STS-111
"Whitson, Peggy A.",female,1960,U.S.,civilian,1,MSP,2002,4438,5
"Whitson, Peggy A.",female,1960,U.S.,civilian,2,flight engineer,2008,4603,16
"Whitson, Peggy A.",female,1960,U.S.,civilian,3,flight engineer,2016,6941,50
"Treshchov, Sergei",male,1958,U.S.S.R/Russia,civilian,1,flight engineer,2002,4438,5
"Magnus, Sandra H.",female,1964,U.S.,civilian,1,MSP,2002,260,STS-112
"Magnus, Sandra H.",female,1964,U.S.,civilian,2,MSP,2008,3210,18
"Magnus, Sandra H.",female,1964,U.S.,civilian,3,MSP,2011,306,STS-135
"Sellers, Piers J.",male,1955,U.K./U.S.,civilian,1,MSP,2002,259,STS-112
"Sellers, Piers J.",male,1955,U.K./U.S.,civilian,2,MSP,2006,306,STS-121
"Sellers, Piers J.",male,1955,U.K./U.S.,civilian,3,MSP,2010,282.5,STS-132
"Yurchikhin, Fyodor",male,1959,U.S.S.R/Russia,civilian,1,MSP,2002,259,STS­112
"Yurchikhin, Fyodor",male,1959,U.S.S.R/Russia,civilian,2,flight engineer,2007,4721,15
"Yurchikhin, Fyodor",male,1959,U.S.S.R/Russia,civilian,3,commander,2010,3919,24
"Yurchikhin, Fyodor",male,1959,U.S.S.R/Russia,civilian,4,commander,2013,3990,36
"Yurchikhin, Fyodor",male,1959,U.S.S.R/Russia,civilian,5,commander,2017,3258,51
"De Winne, Frank",male,1961,Belgium,military,1,commander,2002,261,Soyuz TMA-1/TM-34
"De Winne, Frank",male,1961,Belgium,military,2,commander,2009,4508.6,20
"Herrington, John B.",male,1958,U.S.,military,1,MSP,2002,330,STS-113
"Pettit, Donald R.",male,1955,U.S.,civilian,1,flight engineer,2002,3865,6
"Pettit, Donald R.",male,1955,U.S.,civilian,2,MSP,2008,380.5,STS-126
"Pettit, Donald R.",male,1955,U.S.,civilian,3,flight engineer,2011,4627,30
"McCool, William C.",male,1961,U.S.,military,1,pilot,2003,382,STS-107
"Brown, David M.",male,1956,U.S.,military,1,MSP,2003,382,STS-107
"Clark, Laurel B.",female,1961,U.S.,military,1,MSP,2003,382,STS-107
"Ramon, Ilan",male,1954,Israel,military,1,PSP,2003,382.33,STS-107
"Yang, Liwei",male,1965,China,military,1,commander,2005,21,Shenzhou 5
"Fincke, E. Michael",male,1967,U.S.,military,1,flight engineer,2004,4501,9
"Fincke, E. Michael",male,1967,U.S.,military,2,commander,2009,4280,18
"Fincke, E. Michael",male,1967,U.S.,military,3,MSP,2011,378,STS-134
"Kuipers, Andre",male,1958,Netherland,civilian,1,flight engineer,2004,261,Soyuz TMA-4/TMA-3
"Kuipers, Andre",male,1958,Netherland,civilian,2,flight engineer,2012,4627,30
"Shargin, Yuri",male,1960,U.S.S.R/Russia,military,1,flight engineer,2004,237,Soyuz TMA­5
"Noguchi, Soichi",male,1965,Japan,civilian,1,MSP,2005,333.55,STS-114
"Noguchi, Soichi",male,1965,Japan,civilian,2,flight engineer,2009,3917.55,22
"Camarda, Charles J.",male,1952,U.S.,civilian,1,MSP,2005,333,STS-114
"Olsen, Gregory Hammond",male,1945,U.S.,civilian,1,Space tourist,2005,237.29,Soyuz TMA-7
"Fei, Junlong",male,1966,China,military,1,commander,2005,115,Shenzhou 6
Nie Haisheng,male,1964,China,military,1,flight engineer,2005,466,Shenzhou 6
Nie Haisheng,male,1964,China,military,2,commander,2008,466,Shenzhou 10
"Pontes, Marcos Cesar",male,1963,Brazil,military,1,pilot,2006,237.28,Soyuz TMA-8
"Fossum, Michael E.",male,1957,U.S.,civilian,1,MSP,2006,307,STS-121
"Fossum, Michael E.",male,1957,U.S.,civilian,2,MSP,2008,330,STS-124
"Fossum, Michael E.",male,1957,U.S.,civilian,3,commander,2011,4014,28
"Nowak, Lisa M.",female,1963,U.S.,military,1,MSP,2006,306,STS-121
"Wilson, Stephanie D.",female,1966,U.S.,civilian,1,MSP,2006,306,STS-121
"Wilson, Stephanie D.",female,1966,U.S.,civilian,2,MSP,2007,362,STS-120
"Wilson, Stephanie D.",female,1966,U.S.,civilian,3,MSP,2010,362,STS-131
"Ferguson, Christopher J.",male,1961,U.S.,military,1,pilot,2006,283,STS-115
"Ferguson, Christopher J.",male,1961,U.S.,military,2,commander,2008,380.5,STS-126
"Ferguson, Christopher J.",male,1961,U.S.,military,3,commander,2011,306.5,STS-135
"Stefanyshyn-Piper, Heidemarie M.",female,1963,U.S.,military,1,MSP,2002,288,STS-115
"Stefanyshyn-Piper, Heidemarie M.",female,1963,U.S.,military,2,MSP,2008,360,STS-126
"Ansari, Anousheh",female,1966,U.S.,civilian,1,Other (space tourist),2006,261.525,Soyuz TMA-9
"Oefelein, William A.",male,1965,U.S.,military,1,pilot,2006,308,STS-116
"Patrick, Nicholas J. M.",male,1964,U.K./U.S.,civilian,1,MSP,2006,308,STS-116
"Patrick, Nicholas J. M.",male,1964,U.K./U.S.,civilian,2,MSP,2010,330,STS-130
Christer Fuglesang,male,1957,Sweden,civilian,1,MSP,2006,308.73,STS-116
Christer Fuglesang,male,1957,Sweden,civilian,2,MSP,2009,332.9,STS-128
"Higginbotham, Joan E.",female,1964,U.S.,civilian,1,MSP,2006,308,STS-116
"Williams, Sunita L.",female,1965,U.S.,military,1,MSP,2006,4674,14
"Williams, Sunita L.",female,1965,U.S.,military,2,flight engineer,2012,3048,32
"Kotov, Oleg",male,1965,U.S.S.R/Russia,military,1,commander,2007,4721,15
"Kotov, Oleg",male,1965,U.S.S.R/Russia,military,2,commander,2009,3917,22
"Kotov, Oleg",male,1965,U.S.S.R/Russia,military,3,commander,2013,3990,37
"Simonyi, Charles (Karoly)",male,1948,U.S.,civilian,1,Other (space tourist),2007,331.4,Soyuz TMA-10
"Simonyi, Charles (Karoly)",male,1948,U.S.,civilian,2,Other (space tourist),2009,307.85,Soyuz TMA-14
"Archambault, Lee J.",male,1960,U.S.,military,1,pilot,2007,332,STS-117
"Archambault, Lee J.",male,1960,U.S.,military,2,commander,2009,307.5,STS-119
"Swanson, Steven R.",male,1960,U.S.,civilian,1,MSP,2007,332.22,STS-117
"Swanson, Steven R.",male,1960,U.S.,civilian,2,MSP,2009,307.5,STS-119
"Swanson, Steven R.",male,1960,U.S.,civilian,3,flight engineer,2014,4007.13,39
"Olivas, John D.",male,1965,U.S.,civilian,1,MSP,2007,332,STS-117
"Olivas, John D.",male,1965,U.S.,civilian,2,MSP,2009,333,STS-128
"Anderson, Clayton C.",male,1959,U.S.,civilian,1,flight engineer,2007,3642,15
"Anderson, Clayton C.",male,1959,U.S.,civilian,2,MSP,2010,363,STS-131
"Caldwell, Tracy E.",female,1969,U.S.,civilian,1,MSP,2007,306,STS-118
"Caldwell, Tracy E.",female,1969,U.S.,civilian,2,flight engineer,2010,4220,23
"Drew, Alvin Benjamin",male,1962,U.S.,military,1,MSP,2007,306,STS-118
"Drew, Alvin Benjamin",male,1962,U.S.,military,2,MSP,2011,307,STS-133
"Morgan, Barbara R.",female,1951,U.S.,civilian,1,MSP,2007,305,STS-118
"Shukor, Sheikh Muszaphar",male,1972,Malysia,civilian,1,Other (space tourist),2007,261.23,Soyuz TMA-11/10
"Zamka, George D.",male,1962,U.S.,military,1,pilot,2007,362,STS-120
"Zamka, George D.",male,1962,U.S.,military,2,commander,2010,306.1,STS-130
"Wheelock, Douglas H.",male,1960,U.S.,military,1,MSP,2007,360,STS-120
"Wheelock, Douglas H.",male,1960,U.S.,military,2,flight engineer,2010,3912,24
"Nespoli, Paolo A.",male,1957,Italy,military,1,MSP,2007,362.4,STS-120
"Nespoli, Paolo A.",male,1957,Italy,military,2,flight engineer,2010,3823.28,26
"Nespoli, Paolo A.",male,1957,Italy,military,3,flight engineer,2017,3328.93,52
"Poindexter, Alan G.",male,1961,U.S.,military,1,pilot,2008,306,STS-122
"Poindexter, Alan G.",male,1961,U.S.,military,2,commander,2010,363,STS-131
"Melvin, Leland D.",male,1964,U.S.,civilian,1,MSP,2008,306,STS-122
"Melvin, Leland D.",male,1964,U.S.,civilian,2,MSP,2009,259,STS-129
"Love, Stanley G.",male,1965,U.S.,civilian,1,MSP,2008,306,STS-122
"Johnson, Gregory H.",male,1962,U.S.,military,1,pilot,2008,378,STS-123
"Johnson, Gregory H.",male,1962,U.S.,military,2,pilot,2011,377,STS-134
"Behnken, Robert L.",male,1970,U.S.,military,1,MSP,2008,378,STS-123
"Behnken, Robert L.",male,1970,U.S.,military,2,MSP,2010,330,STS-130
"Foreman, Michael J.",male,1957,U.S.,military,1,MSP,2008,378,STS-123
"Foreman, Michael J.",male,1957,U.S.,military,2,MSP,2009,259,STS-129
"Reisman, Garrett E.",male,1968,U.S.,civilian,1,flight engineer,2008,2289,16
"Reisman, Garrett E.",male,1968,U.S.,civilian,2,MSP,2010,282,STS-132
"Volkov, Sergei",male,1973,U.S.S.R/Russia,military,1,commander,2008,4768,17
"Volkov, Sergei",male,1973,U.S.S.R/Russia,military,2,commander,2011,4014,28
"Volkov, Sergei",male,1973,U.S.S.R/Russia,military,3,commander,2015,4003,45
"Kononenko, Oleg D.",male,1964,U.S.S.R/Russia,military,1,flight engineer,2008,3168,17
"Kononenko, Oleg D.",male,1964,U.S.S.R/Russia,military,2,commander,2011,4626,30
"Kononenko, Oleg D.",male,1964,U.S.S.R/Russia,military,3,commander,2015,3400,44
"Kononenko, Oleg D.",male,1964,U.S.S.R/Russia,military,4,commander,2018,4887,57
"Yi, Soyeon (Lee So-hyun)",female,1978,Korea,civilian,1,Other (Space tourist),2008,261,Soyuz TMA-12 / Soyuz TMA-11
"Ham, Kenneth T.",male,1964,U.S.,military,1,pilot,2008,330,STS-124
"Ham, Kenneth T.",male,1964,U.S.,military,2,commander,2010,282,STS-132
"Nyberg, Karen L.",female,1969,U.S.,civilian,1,MSP,2008,330,STS-124
"Nyberg, Karen L.",female,1969,U.S.,civilian,2,flight engineer,2013,3990,36
"Garan, Ronald J., Jr.",male,1961,U.S.,military,1,MSP,2008,330,STS-124
"Garan, Ronald J., Jr.",male,1961,U.S.,military,2,MSP,2008,3942,27
"Hoshide, Akihiko",male,1968,Japan,civilian,1,MSP,2008,306.25,STS-124
"Hoshide, Akihiko",male,1968,Japan,civilian,2,flight engineer,2012,3047.25,32
"Chamitoff, Gregory",male,1962,U.S.,civilian,1,flight engineer,2008,4392.5,17
"Chamitoff, Gregory",male,1962,U.S.,civilian,2,MSP,2011,377.5,STS-134
"Zhai, Zhigang",male,1966,China,military,1,commander,2008,68,Shenzhou 7
"Liu, Boming",male,1966,China,military,1,flight engineer,2008,68,Shenzhou 7
"Jing, Haipeng",male,1966,China,military,1,flight engineer,2008,1146,Shenzhou 7
"Jing, Haipeng",male,1966,China,military,2,commander,2012,1146,Shenzhou 9
"Jing, Haipeng",male,1966,China,military,3,commander,2016,1146,Shenzhou 11
"Garriott, Richard Allen",male,1961,U.K./U.S.,civilian,1,Space tourist,2008,284.89,Soyuz TMA-13
"Boe, Eric A.",male,1964,U.S.,military,1,pilot,2008,380,STS-126
"Boe, Eric A.",male,1964,U.S.,military,2,pilot,2011,307,STS-133
"Bowen, Stephen G.",male,1964,U.S.,military,1,MSP,2008,380,STS-126
"Bowen, Stephen G.",male,1964,U.S.,military,2,MSP,2010,283,STS-132
"Bowen, Stephen G.",male,1964,U.S.,military,3,MSP,2011,307,STS-133
"Kimbrough, Robert S.",male,1967,U.S.,military,1,MSP,2008,380,STS-126
"Kimbrough, Robert S.",male,1967,U.S.,military,2,flight engineer,2016,10383.25,49
"Antonelli, Dominic A.",male,1967,U.S.,military,1,pilot,2009,287.5,STS-119
"Antonelli, Dominic A.",male,1967,U.S.,military,2,pilot,2010,281.5,STS-132
"Acaba, Joseph M.",male,1967,U.S.,civilian,1,MSP,2009,307,STS-119
"Acaba, Joseph M.",male,1967,U.S.,civilian,2,flight engineer,2012,2928,31
"Acaba, Joseph M.",male,1967,U.S.,civilian,3,flight engineer,2017,4037.23,53
"Arnold, Richard R., II",male,1963,U.S.,civilian,1,MSP,2009,307,STS-119
"Arnold, Richard R., II",male,1963,U.S.,civilian,2,flight engineer,2018,4722,55
"Barratt, Michael R.",male,1959,U.S.,civilian,1,flight engineer,2009,4778,19
"Barratt, Michael R.",male,1959,U.S.,civilian,2,MSP,2011,307,STS-133
"Johnson, Gregory C.",male,1954,U.S.,civilian,1,pilot,2009,309.63,STS-125
"Good, Michael T.",male,1962,U.S.,military,1,MSP,2009,309,STS-125
"Good, Michael T.",male,1962,U.S.,military,2,MSP,2010,282.15,STS-132
"McArthur, K. Megan",female,1971,U.S.,civilian,1,MSP,2009,309,STS-125
"Feustel, Andrew J.",male,1965,U.S.,civilian,1,MSP,2009,309,STS-125
"Feustel, Andrew J.",male,1965,U.S.,civilian,2,MSP,2011,378,STS-134
"Feustel, Andrew J.",male,1965,U.S.,civilian,3,flight engineer,2018,4722,55
"Romanenko, Roman",male,1971,U.S.S.R/Russia,military,1,flight engineer,2009,4508,20
"Romanenko, Roman",male,1971,U.S.S.R/Russia,military,2,flight engineer,2012,3494,34
"Hurley, Douglas G.",male,1966,U.S.,military,1,pilot,2009,377,STS-127
"Hurley, Douglas G.",male,1966,U.S.,military,2,pilot,2011,306,STS-135
"Cassidy, Christopher J.",male,1970,U.S.,military,1,MSP,2009,377,STS-127
"Cassidy, Christopher J.",male,1970,U.S.,military,2,flight engineer,2013,3990,35
"Marshburn, Thomas H.",male,1960,U.S.,military,1,MSP,2009,376,STS-127
"Marshburn, Thomas H.",male,1960,U.S.,military,2,flight engineer,2013,3494,34
"Kopra, Timothy L.",male,1963,U.S.,military,1,MSP,2009,1317,20
"Kopra, Timothy L.",male,1963,U.S.,military,2,flight engineer,2015,1920,46
"Ford, Kevin A.",male,1960,U.S.,military,1,pilot,2009,333,STS-128
"Ford, Kevin A.",male,1960,U.S.,military,2,commander,2012,3448,33
"Hernandez, Jose M.",male,1962,U.S.,civilian,1,MSP,2009,332,STS-128
"Stott, Nicole P.",female,1962,U.S.,civilian,1,flight engineer,2009,1440,20
"Stott, Nicole P.",female,1962,U.S.,civilian,2,MSP,2011,307,STS-133
"Surayev, Maksim",male,1972,U.S.S.R/Russia,military,1,commander,2014,3968,40
"Surayev, Maksim",male,1972,U.S.S.R/Russia,military,2,commander,2009,4060,21
Guy Laliberte,male,1959,Canada,civilian,1,Other (Space tourist),2009,261.28,Soyuz TMA-16/14
"Wilmore, Barry E.",male,1962,U.S.,military,1,pilot,2009,259,STS-129
"Wilmore, Barry E.",male,1962,U.S.,military,2,flight engineer,2014,4013,41
"Bresnik, Randolph J.",male,1967,U.S.,military,1,MSP,2009,259,STS-129
"Bresnik, Randolph J.",male,1967,U.S.,military,2,flight engineer,2017,3328.93,52
"Satcher, Robert L.",male,1965,U.S.,civilian,1,MSP,2009,259,STS-129
"Creamer, Timothy J.",male,1959,U.S.,military,1,flight engineer,2009,3912,22
"Virts, Terry W., Jr.",male,1967,U.S.,military,1,pilot,2010,330.1,STS-130
"Virts, Terry W., Jr.",male,1967,U.S.,military,2,flight engineer,2014,4783.5,42
"Skvortsov, Aleksandr Jr.",male,1966,U.S.S.R/Russia,military,1,commander,2010,4225,23
"Skvortsov, Aleksandr Jr.",male,1966,U.S.S.R/Russia,military,2,commander,2014,4061,39
"Skvortsov, Aleksandr Jr.",male,1966,U.S.S.R/Russia,military,3,commander,2019,4302.98,60
"Korniyenko, Mikhail",male,1960,U.S.S.R/Russia,civilian,1,flight engineer,2010,4225,23
"Korniyenko, Mikhail",male,1960,U.S.S.R/Russia,civilian,2,flight engineer,2015,7798,43
"Dutton, James P.",male,1968,U.S.,military,1,pilot,2010,362,STS-131
"Metcalf-Lindenburger, Dorothy M.",female,1975,U.S.,civilian,1,MSP,2010,362,STS-131
"Yamazaki, Naoko",female,1970,Japan,civilian,1,MSP,2010,362.8,STS-131
"Walker, Shannon",female,1965,U.S.,civilian,1,flight engineer,2010,3919.18,24
"Skripochka, Oleg",male,1969,U.S.S.R/Russia,civilian,1,flight engineer,2010,3824,25
"Skripochka, Oleg",male,1969,U.S.S.R/Russia,civilian,2,flight engineer,2016,4131.77,47
"Skripochka, Oleg",male,1969,U.S.S.R/Russia,civilian,3,commander,2019,2697.53,61
"Kondratyev, Dmitri",male,1969,U.S.S.R/Russia,military,1,commander,2010,3823,26
"Samokutyayev, Aleksandr",male,1970,U.S.S.R/Russia,military,1,commander,2011,3941,27
"Samokutyayev, Aleksandr",male,1970,U.S.S.R/Russia,military,2,commander,2014,4013,41
"Borisenko, Andrei",male,1964,U.S.S.R/Russia,military,1,flight engineer,2011,3941,27
"Borisenko, Andrei",male,1964,U.S.S.R/Russia,military,2,flight engineer,2016,10383.25,49
"Furukawa, Satoshi",male,1964,Japan,civilian,1,flight engineer,2011,4014,28
"Shkaplerov, Anton",male,1972,U.S.S.R/Russia,military,1,commander,2011,3967,29
"Shkaplerov, Anton",male,1972,U.S.S.R/Russia,military,2,commander,2014,4792,42
"Shkaplerov, Anton",male,1972,U.S.S.R/Russia,military,3,commander,2017,4037,54
"Ivanishin, Anatoli",male,1969,U.S.S.R/Russia,military,1,commander,2011,3967,29
"Ivanishin, Anatoli",male,1969,U.S.S.R/Russia,military,2,flight engineer,2016,2762,48
"Revin, Sergei",male,1966,U.S.S.R/Russia,civilian,1,flight engineer,2012,2999,31
"Liu, Wang",male,1969,China,military,1,flight engineer,2012,303.5,Shenzhou 9
"Liu, Yang",female,1978,China,military,1,flight engineer,2012,303.5,Shenzhou 9
"Novitski, Oleg",male,1971,U.S.S.R/Russia,military,1,commander,2012,3448,33
"Novitski, Oleg",male,1971,U.S.S.R/Russia,military,2,commander,2016,4721.83,50
"Tarelkin, Yevgeni",male,1974,U.S.S.R/Russia,military,1,flight engineer,2012,3448,33
"Misurkin, Aleksandr",male,1977,U.S.S.R/Russia,military,1,flight engineer,2013,3990.25,35
"Misurkin, Aleksandr",male,1977,U.S.S.R/Russia,military,2,commander,2017,4037.25,53
"Parmitano, Luca",male,1976,Italy,military,1,flight engineer,2013,3990.28,36
"Parmitano, Luca",male,1976,Italy,military,2,flight engineer,2019,4303.03,NA
"Zhang, Xiaoguang",male,1968,China,military,1,flight engineer,2013,350,Shenzhou 10
"Wang, Yapi",male,1980,China,military,1,flight engineer,2013,350,Shenzhou 10
"Ryazanski, Sergei",male,1974,U.S.S.R/Russia,civilian,1,flight engineer,2013,3990,37
"Ryazanski, Sergei",male,1974,U.S.S.R/Russia,civilian,2,commander,2017,3328.93,52
"Hopkins, Michael Scott",male,1968,U.S.,military,1,flight engineer,2013,3990.42,37
"Artemyev, Oleg",male,1970,U.S.S.R/Russia,military,1,flight engineer,2014,4062,39
"Artemyev, Oleg",male,1970,U.S.S.R/Russia,military,2,commander,2018,4722,55
"Wiseman, Gregory Reid",male,1975,U.S.,military,1,MSP,2014,3968.1,40
"Gerst, Alexander",male,1976,Germany,civilian,1,flight engineer,2014,3968.02,40
"Gerst, Alexander",male,1976,Germany,civilian,2,flight engineer,2018,4721.82,56
"Serova, Yelena",female,1976,U.S.S.R/Russia,civilian,1,flight engineer,2014,4013,41
"Cristofretti, Samantha",female,1977,Italy,military,1,flight engineer,2014,4783.5,42
"Yui, Kimiya",male,1970,Japan,military,1,flight engineer,2015,3400,44
"Lindgren, Kjell Norwood",male,1973,U.S.,military,1,flight engineer,2015,3400.15,44
"Mogensen, Andreas",male,1976,Denmark,civilian,1,flight engineer,2015,236.23,Soyuz TMA-18M/16M
Aidyn (Aydyn) Akanovich Aimbetov,male,1972,Kazakhstan,military,1,flight engineer,2015,236.23,Soyuz TMA-18M/16M
"Peake, Timothy Nigel",male,1972,U.K.,military,1,pilot,2015,4462,46
"Ovchinin, Aleksey",male,1971,U.S.S.R/Russia,military,1,commander,2016,4132,47
"Ovchinin, Aleksey",male,1971,U.S.S.R/Russia,military,2,commander,2019,0,57
"Ovchinin, Aleksey",male,1971,U.S.S.R/Russia,military,3,commander,2019,4863.75,59
"Onishi, Takuya",male,1975,Japan,civilian,1,flight engineer,2016,6902.35,48
"Rubins, Kathleen",female,1978,U.S.,civilian,1,flight engineer,2016,6902.35,48
"Chen, Dong",male,1978,China,military,1,flight engineer,2016,774.5,Shenzhou 11
"Ryzhikov, Sergey",male,1974,U.S.S.R/Russia,military,1,commander,2016,10383.25,49
"Pesquet, Thomas",male,1978,France,civilian,1,flight engineer,2016,4721.83,50
"Fischer, Jack",male,1974,U.S.,military,1,flight engineer,2017,3258.13,51
"Vande Hei, Mark",male,1966,U.S.,military,1,flight engineer,2017,4037.23,53
"Tingle, Scott",male,1965,U.S.,military,1,flight engineer,2017,4037,54
"Kanai, Norishige",male,1976,Japan,civilian,1,flight engineer,2017,4037,54
"Prokopyev, Sergei",male,1975,U.S.S.R/Russia,military,1,commander,2018,4722,56
"Auñón-Chancellor, Serena",female,1976,U.S.,civilian,1,flight engineer,2018,4722,56
"Hague, Tyler",male,1975,U.S.,military,1,flight engineer,2018,0,57
"Hague, Tyler",male,1975,U.S.,military,2,flight engineer,2019,4864,59
"Saint-Jaques, David",male,1970,Canada,civilian,1,flight engineer,2018,4887,57
"McClain, Anne Charlotte",female,1979,U.S.,military,1,flight engineer,2018,4887,57
"Koch, Christina",female,1979,U.S.,civilian,1,flight engineer,2019,7372.3,59
"Morgan, Andrew",male,1976,U.S.,military,1,flight engineer,2019,4303.08,60
"Meir, Jessica",female,1977,U.S.,civilian,1,flight engineer,2019,2697.6,60
"Al Mansoori, Hazzaa",male,1983,UAE,military,1,spaceflight participant,2019,189,EP-19
